Unnamed: 0,comment_ratio,cyclomatic_complexity,fanout_external,fanout_internal,halstead_bugprop,halstead_difficulty,halstead_effort,halstead_timerequired,halstead_volume,lang,loc,maintainability_index,operands_sum,operands_uniq,operators_sum,operators_uniq,pylint,tiobe,tiobe_compiler,tiobe_complexity,tiobe_coverage,tiobe_duplication,tiobe_fanout,tiobe_functional,tiobe_security,tiobe_standard,halstead_vocabulary
/humaneval-x/python/gpt-4/problem_0.py,16.378,4,1,0,0.174,12.04,6299.988,349.999,523.255,python,13,56.126,43,25,56,14,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,39
/humaneval-x/python/gpt-4/problem_1.py,42.902,5,1,0,0.152,17.938,8185.614,454.756,456.341,python,36,46.758,41,16,52,14,100.0,91.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,30
/humaneval-x/python/gpt-4/problem_2.py,71.54,1,0,0,0.026,7.0,552.084,30.671,78.869,python,5,71.336,10,5,12,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12
/humaneval-x/python/gpt-4/problem_3.py,54.326,2,1,0,0.041,11.143,1372.687,76.26,123.19,python,11,62.376,13,7,16,12,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,19
/humaneval-x/python/gpt-4/problem_4.py,59.697,3,2,0,0.106,13.125,4186.191,232.566,318.948,python,20,53.685,30,16,35,14,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,30
/humaneval-x/python/gpt-4/problem_5.py,33.03,2,1,0,0.082,15.889,3897.048,216.503,245.269,python,14,57.997,22,9,33,13,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,22
/humaneval-x/python/gpt-4/problem_6.py,30.779,5,1,0,0.11,14.467,4778.958,265.498,330.343,python,24,51.582,31,15,37,14,100.0,91.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,29
/humaneval-x/python/gpt-4/problem_7.py,59.367,3,1,0,0.039,13.0,1523.687,84.649,117.207,python,4,71.976,13,5,17,10,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,15
/humaneval-x/python/gpt-4/problem_8.py,0.0,2,1,0,0.065,14.444,2834.217,157.456,196.215,python,10,61.863,20,9,24,13,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,22
/humaneval-x/python/gpt-4/problem_9.py,0.0,3,1,0,0.072,15.75,3403.518,189.084,216.096,python,13,58.95,21,8,29,12,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,20
/humaneval-x/python/gpt-4/problem_10.py,63.761,2,0,0,0.138,19.5,8046.609,447.034,412.647,python,19,53.522,33,11,57,13,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,24
/humaneval-x/python/gpt-4/problem_11.py,46.35,4,0,0,0.086,12.409,3186.132,177.007,256.758,python,16,56.324,21,11,35,13,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,24
/humaneval-x/python/gpt-4/problem_12.py,8.14,3,0,0,0.066,12.222,2429.884,134.994,198.809,python,13,59.203,20,9,26,11,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,20
/humaneval-x/python/gpt-4/problem_13.py,57.762,2,0,0,0.04,14.0,1695.591,94.199,121.114,python,5,69.897,14,5,17,10,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,15
/humaneval-x/python/gpt-4/problem_14.py,50.373,2,1,0,0.047,10.214,1448.155,80.453,141.777,python,4,71.532,13,7,21,11,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,18
/humaneval-x/python/gpt-4/problem_15.py,67.337,2,0,0,0.045,9.0,1205.818,66.99,133.98,python,7,66.402,12,8,19,12,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,20
/humaneval-x/python/gpt-4/problem_16.py,70.899,2,1,0,0.056,5.885,997.198,55.4,169.458,python,14,59.121,17,13,21,9,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,22
/humaneval-x/python/gpt-4/problem_17.py,29.266,9,1,0,0.199,26.5,15796.968,877.609,596.112,python,24,49.249,53,14,71,14,100.0,86.364,100.0,9.091,100.0,100.0,100.0,100.0,100.0,100.0,28
