Unnamed: 0,comment_ratio,cyclomatic_complexity,fanout_external,fanout_internal,halstead_bugprop,halstead_difficulty,halstead_effort,halstead_timerequired,halstead_volume,lang,loc,maintainability_index,operands_sum,operands_uniq,operators_sum,operators_uniq,pylint,tiobe,tiobe_compiler,tiobe_complexity,tiobe_coverage,tiobe_duplication,tiobe_fanout,tiobe_functional,tiobe_security,tiobe_standard,halstead_vocabulary
/humaneval-x/python/human/problem_0.py,0.0,4,1,0,0.08,12.458,3008.445,167.136,241.481,python,9,61.961,23,12,29,13,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,25
/humaneval-x/python/human/problem_1.py,0.0,5,1,0,0.116,17.333,6037.013,335.39,348.289,python,16,55.262,32,12,43,13,100.0,91.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,25
/humaneval-x/python/human/problem_2.py,0.0,1,0,0,0.014,5.833,251.913,13.995,43.185,python,2,81.848,5,3,8,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
/humaneval-x/python/human/problem_3.py,0.0,2,1,0,0.041,11.143,1372.687,76.26,123.19,python,8,65.393,13,7,16,12,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,19
/humaneval-x/python/human/problem_4.py,0.0,2,1,0,0.059,12.375,2207.86,122.659,178.413,python,4,70.833,18,8,24,11,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,19
/humaneval-x/python/human/problem_5.py,0.0,2,1,0,0.091,19.5,5310.312,295.017,272.324,python,10,60.867,24,8,38,13,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,21
/humaneval-x/python/human/problem_6.py,0.0,5,1,0,0.104,15.0,4663.662,259.092,310.911,python,13,57.574,28,14,36,15,100.0,91.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,29
/humaneval-x/python/human/problem_7.py,0.0,3,1,0,0.039,13.0,1523.687,84.649,117.207,python,3,74.702,13,5,17,10,100.0,97.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,15
/humaneval-x/python/human/problem_8.py,0.0,2,1,0,0.062,14.444,2705.389,150.299,187.296,python,8,64.119,20,9,22,13,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,22
/humaneval-x/python/human/problem_9.py,0.0,4,1,0,0.076,15.889,3613.626,200.757,227.431,python,11,60.242,22,9,29,13,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,22
/humaneval-x/python/human/problem_10.py,11.549,1,0,0,0.089,19.5,5225.211,290.29,267.96,python,10,61.05,21,7,41,13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20
/humaneval-x/python/human/problem_11.py,0.0,2,1,0,0.07,9.5,1991.136,110.619,209.593,python,8,63.777,19,11,28,11,100.0,99.328,100.0,95.522,100.0,100.0,100.0,100.0,100.0,100.0,22
/humaneval-x/python/human/problem_12.py,0.0,4,1,0,0.068,14.444,2963.045,164.614,205.134,python,8,63.573,20,9,26,13,100.0,93.807,100.0,58.716,100.0,100.0,100.0,100.0,100.0,100.0,22
